grouping,group,count,base_rate,selection_rate,recall,precision,false_negative_rate,false_positive_rate
customer_state,AC,23.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.21739130434782608
customer_state,AL,64.0,0.21875,0.453125,0.5,0.2413793103448276,0.5,0.44
customer_state,AM,27.0,0.037037037037037035,0.18518518518518517,1.0,0.2,0.0,0.15384615384615385
customer_state,AP,12.0,0.08333333333333333,0.16666666666666666,0.0,0.0,1.0,0.18181818181818182
customer_state,BA,638.0,0.13636363636363635,0.4843260188087774,0.8275862068965517,0.23300970873786409,0.1724137931034483,0.4301270417422868
customer_state,CE,282.0,0.1524822695035461,0.4574468085106383,0.8837209302325582,0.29457364341085274,0.11627906976744186,0.3807531380753138
customer_state,DF,411.0,0.0705596107055961,0.20681265206812652,0.6206896551724138,0.21176470588235294,0.3793103448275862,0.17539267015706805
customer_state,ES,433.0,0.12471131639722864,0.3533487297921478,0.7592592592592593,0.2679738562091503,0.24074074074074073,0.2955145118733509
customer_state,GO,389.0,0.08483290488431877,0.2853470437017995,0.696969696969697,0.2072072072072072,0.30303030303030304,0.24719101123595505
customer_state,MA,128.0,0.1796875,0.6796875,0.9565217391304348,0.25287356321839083,0.043478260869565216,0.6190476190476191
customer_state,MG,2297.0,0.05528950805398346,0.17718763604701784,0.6456692913385826,0.20147420147420148,0.3543307086614173,0.1497695852534562
customer_state,MS,130.0,0.1076923076923077,0.38461538461538464,0.8571428571428571,0.24,0.14285714285714285,0.3275862068965517
customer_state,MT,174.0,0.08620689655172414,0.3218390804597701,0.6666666666666666,0.17857142857142858,0.3333333333333333,0.2893081761006289
customer_state,PA,199.0,0.11557788944723618,0.32160804020100503,0.6086956521739131,0.21875,0.391304347826087,0.2840909090909091
customer_state,PB,95.0,0.15789473684210525,0.5263157894736842,0.5333333333333333,0.16,0.4666666666666667,0.525
customer_state,PE,331.0,0.1268882175226586,0.3474320241691843,0.5714285714285714,0.20869565217391303,0.42857142857142855,0.314878892733564
customer_state,PI,80.0,0.125,0.5375,0.9,0.20930232558139536,0.1,0.4857142857142857
customer_state,PR,993.0,0.054380664652567974,0.1309164149043303,0.5555555555555556,0.23076923076923078,0.4444444444444444,0.10649627263045794
customer_state,RJ,2435.0,0.13059548254620124,0.4016427104722793,0.8679245283018868,0.2822085889570552,0.1320754716981132,0.33160132262635805
customer_state,RN,96.0,0.14583333333333334,0.4791666666666667,0.8571428571428571,0.2608695652173913,0.14285714285714285,0.4146341463414634
customer_state,RO,53.0,0.05660377358490566,0.2830188679245283,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.28
customer_state,RR,10.0,0.2,0.0,0.0,0.0,1.0,0.0
customer_state,RS,1060.0,0.07169811320754717,0.2660377358490566,0.6052631578947368,0.16312056737588654,0.39473684210526316,0.23983739837398374
customer_state,SC,715.0,0.0979020979020979,0.33146853146853145,0.7571428571428571,0.22362869198312235,0.24285714285714285,0.28527131782945736
customer_state,SE,59.0,0.1016949152542373,0.4576271186440678,0.8333333333333334,0.18518518518518517,0.16666666666666666,0.41509433962264153
customer_state,SP,8071.0,0.0598438855160451,0.1354231198116714,0.5900621118012422,0.2607502287282708,0.40993788819875776,0.10648392198207696
customer_state,TO,56.0,0.125,0.5714285714285714,0.8571428571428571,0.1875,0.14285714285714285,0.5306122448979592
