grouping,group,count,mae,mean_signed_error,mean_actual
city_type,Metropolitian,6257.0,3.137275408799225,0.04992091032725964,27.29854562889564
city_type,Semi-Urban,32.0,3.0099316835403442,-0.10100948810577393,48.75
city_type,Urban,1886.0,3.0418037452980924,0.03201087737260416,22.816012725344645
city_type,unknown,216.0,3.02628434587408,-0.3188393513361613,23.064814814814813
age_band,25-29,1976.0,3.1260321063068712,0.026300209253905756,23.151315789473685
age_band,30-34,2031.0,2.899730601139341,0.0017511258860165,29.367306745445592
age_band,35+,2029.0,2.943732183634089,0.08249973157992675,29.394775751601774
age_band,nan,360.0,5.235041472646925,0.4928371138042874,25.791666666666668
age_band,under 25,1995.0,3.1042253159640127,-0.04998146334387605,23.088220551378445
rating_band,4.2-4.6,2400.0,3.0790559673309326,0.10683956623077392,26.444583333333334
rating_band,4.6-4.8,2543.0,2.883599268935395,-0.033163900971647044,24.13841918993315
rating_band,4.8-5.0,2144.0,3.0814218761315986,-0.06031151671907795,24.83955223880597
rating_band,<=4.2,924.0,3.0178225959018197,0.027621182528409092,35.18722943722944
rating_band,nan,380.0,5.260540751407021,0.6114021251076146,25.68421052631579
vehicle,bicycle,12.0,3.3757429917653403,0.7141536871592203,25.666666666666668
vehicle,electric_scooter,742.0,3.2018163750435145,0.014917045912010008,24.606469002695416
vehicle,motorcycle,4824.0,3.1496643660278068,0.06394139925638835,27.432421227197345
vehicle,scooter,2813.0,3.0240070249446975,-0.009763794948823333,24.699608958407396
