grouping,group,count,base_rate,selection_rate,recall,precision,false_negative_rate,false_positive_rate
region,Central-West,1104.0,0.08242753623188406,0.27355072463768115,0.6923076923076923,0.20860927152317882,0.3076923076923077,0.23593287265547877
region,North,380.0,0.09736842105263158,0.3236842105263158,0.5945945945945946,0.17886178861788618,0.40540540540540543,0.2944606413994169
region,Northeast,1773.0,0.14326001128031585,0.4709531866892273,0.7755905511811023,0.23592814371257484,0.22440944881889763,0.42001316655694537
region,South,2768.0,0.07225433526011561,0.23446531791907516,0.645,0.1987673343605547,0.355,0.20249221183800623
region,Southeast,13236.0,0.07419159867029314,0.1987760652765186,0.6965376782077393,0.25997719498289623,0.3034623217922607,0.15888689407540396
